Jakarta Utara,Rumah Sunter Siap Huni dengan Kolam Renang,"Rp 8,5 Miliar","Sunter, Jakarta Utara",4,5,0,LT:,LB:
Jakarta Utara,Rumah Sunter Hadap Timur,"Rp 5,5 Miliar","Sunter, Jakarta Utara",5,5,0,LT:,LB:
Jakarta Utara,Rumah Sunter Hadap Selatan Siap Huni,"Rp 3,25 MiliarRp 3.4 MTurun Rp 200 Jutaan","Sunter, Jakarta Utara",4,3,0,LT:,LB:
Jakarta Utara,Rumah Golf Island Cluster Violin Furnish,"Rp 12,3 MiliarRp 14 MTurun Rp 1.7 Miliaran","Pantai Indah Kapuk, Jakarta Utara",7,6,0,LT:,LB:
Jakarta Utara,Rumah Sunter Hadap Selatan,"Rp 2,35 MiliarRp 2.4 MTurun Rp 50 Jutaan","Sunter, Jakarta Utara",4,3,0,LT:,LB:
Jakarta Utara,Rumah Golf Island Semi Furnish,Rp 11 Miliar,"Pantai Indah Kapuk, Jakarta Utara",4,3,0,LT:,LB:
Jakarta Utara,Rumah Sunter Hadap Timur,"Rp 7,3 MiliarRp 7.5 MTurun Rp 200 Jutaan","Sunter, Jakarta Utara",4,3,0,LT:,LB:
Jakarta Utara,Rumah Sunter Furnish,Rp 5 MiliarRp 6.1 MTurun Rp 1.1 Miliaran,"Sunter, Jakarta Utara",6,3,0,LT:,LB:
Jakarta Utara,Dijual Rumah Huk Mewah di Pik Sangat Homey,Rp 15 Miliar,"Pantai Indah Kapuk, Jakarta Utara",5,6,2 + 2,LT:  390 m²,LB:  1000 m²
Jakarta Utara,Rumah Mewah Minimalis Sunter Sts Nego Sampai Jadi,Rp 8 MiliarRp 8.5 MTurun Rp 500 Jutaan,"Sunter, Jakarta Utara",5,5,1 + 2,LT:  192 m²,LB:  500 m²
Jakarta Utara,Rumah Agung Permai Minimalis Rumah Sunter Agung Permai Minimalis,"Rp 4,7 Miliar","Sunter, Jakarta Utara",4,4,1 + 1,LT:  180 m²,LB:  180 m²
Jakarta Utara,Rumah Sunter Siap Huni Nego Sampai Jadi,"Rp 6,1 Miliar","Sunter, Jakarta Utara",3,2,1 + 1,LT:  204 m²,LB:  290 m²
